record,High quality graphics,Easy to pick up and play ,A community of players,Gameplay that gets progressively harder,Ability to upgrade and improve my character over time,Different difficulty levels,Realistic characters and settings,Compelling story,Characters I care about,Requires skill to make progress,Fast-paced gameplay,Diverse characters,Gameplay that requires problem-solving and strategic thinking,Gameplay that requires teamwork,Family-friendliness ,Offers a variety of different ways to play,Variety of skill/character upgrades ,Lots of character customization options,Ability to get matched with/play with players at the same skill level,An immersive world  ,Fun for all experience levels,Unique gameplay mechanics I can’t find in other games ,Ability to play with family and friends in person,Ability to play with family and friends online,Ability to play with strangers online  ,Has endless replayability ,Has multiple different game modes to play,Makes me feel like I’m connected to my family and friends,Makes me feel like I’m hanging out with my family/friends even when we’re not together in person 
2197,4,2,4,4,3,1,2,1,2,4,4,4,3,4,3,2,3,3,3,2,1,4,1,1,4,2,3,2,2
2200,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1
2202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2204,1,2,2,2,2,1,3,3,2,2,1,2,1,1,2,1,1,1,1,3,1,1,1,2,3,1,1,1,1
2206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
2208,1,1,4,2,1,2,1,1,1,1,4,1,1,3,1,1,1,1,2,1,1,2,1,3,4,1,1,1,1
2211,1,2,1,2,2,3,2,1,2,3,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1
2216,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2
2217,1,1,1,2,1,1,1,1,1,1,3,1,2,1,3,3,1,1,1,2,2,2,3,2,2,1,1,1,2
2222,2,1,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,3,2,2,1,2,1,1,1,1,2,1,1
2223,3,2,2,2,3,2,3,3,3,2,2,1,3,1,2,2,3,1,3,3,1,2,1,1,2,1,1,1,1
2225,2,1,3,1,3,1,2,2,2,2,4,1,1,3,1,1,2,1,2,2,1,2,1,2,3,2,1,1,2
2228,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2254,2,3,4,3,3,1,1,3,2,2,4,1,2,1,1,2,3,2,4,1,2,1,2,1,3,2,2,1,2
2255,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,1,2,3,2,2,1,3,1,2,3,2,2,2,2
2258,3,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,2,2,3,3,2,3,2,2,3,3
2263,2,1,4,4,2,4,4,3,3,3,3,2,2,3,1,1,2,2,2,2,1,2,1,2,4,1,1,1,4
2264,1,2,3,3,3,1,2,2,2,3,2,2,2,2,3,2,2,2,2,1,1,2,1,3,1,1,1,1,2
2268,1,1,3,2,2,2,3,3,3,3,2,3,2,2,2,2,2,3,2,3,2,2,2,3,4,2,2,2,1
2279,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1
2285,1,3,2,2,1,2,2,3,4,2,1,2,3,2,3,3,2,2,2,3,2,1,2,1,1,1,2,4,4
2289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2290,1,2,4,3,2,4,1,3,1,4,2,1,4,4,3,2,1,1,4,4,2,2,1,2,2,2,3,1,2
2295,1,2,3,3,2,4,1,1,4,2,3,4,3,1,3,2,2,2,4,3,1,2,2,4,3,1,1,4,3
2296,2,3,4,2,3,1,2,1,3,3,3,3,2,3,3,3,3,3,3,1,1,3,1,3,4,2,3,3,4
2300,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1
2304,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2
2305,1,1,2,2,2,2,2,2,3,2,2,2,3,1,1,1,2,3,2,1,2,2,1,1,2,2,1,1,1
2308,3,1,2,2,2,2,3,3,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,2,3,1,1,2,2
2310,1,1,3,3,3,1,1,2,2,2,3,2,2,3,2,2,3,3,2,2,1,3,1,2,4,1,2,2,1
2312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2316,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
2317,1,1,2,2,2,1,1,2,2,1,1,1,1,3,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2
2319,1,1,1,2,3,1,2,1,1,3,2,1,2,1,2,1,3,3,3,1,1,2,1,2,4,1,1,2,1
2320,1,1,3,2,2,1,3,2,1,3,3,4,1,2,2,3,1,3,1,1,1,3,2,2,2,2,1,2,3
2322,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1
2334,1,2,2,1,1,1,1,1,3,1,2,2,3,3,3,1,1,1,1,2,1,1,1,3,1,3,1,1,1
2343,2,2,3,2,2,4,2,2,3,2,2,4,3,4,4,2,3,3,2,2,2,3,4,4,4,2,3,4,3
2346,3,2,2,2,3,2,3,2,2,2,4,2,3,2,2,2,2,2,1,3,2,2,2,4,2,2,2,2,3
2347,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
2349,3,1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,4,4,2,1,3,1,3,3,1,1,2,2
2351,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,2,2,2
2354,2,2,1,2,3,1,3,2,2,4,2,2,2,2,2,3,1,2,3,3,3,2,3,1,3,2,1,2,2
2355,1,1,2,2,2,3,3,1,1,2,2,2,1,3,3,3,2,2,3,1,1,1,3,2,2,2,3,3,1
2357,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1
2366,2,1,3,4,2,2,2,2,1,3,3,2,2,3,4,2,2,2,2,1,2,3,3,3,4,1,2,3,3
2369,1,1,2,1,1,2,3,1,2,4,1,3,2,2,2,2,2,3,1,3,2,2,2,2,3,1,1,2,1
2373,2,1,2,2,1,1,3,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1
2381,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2
2382,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1
2386,2,3,4,3,2,2,2,1,3,2,1,2,2,4,4,3,3,3,2,1,4,2,1,4,3,3,3,1,3
2392,1,3,1,1,3,1,1,2,3,3,1,4,1,4,4,1,1,2,1,1,1,1,1,2,2,2,1,3,1
2399,3,2,3,2,2,2,3,3,2,2,3,2,2,2,3,3,3,3,2,2,3,3,2,3,2,2,2,2,1
2401,1,1,2,2,2,2,3,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,3,2,1,2,2
2402,1,1,1,2,2,3,1,2,2,2,2,2,2,1,1,2,2,3,2,3,2,2,2,1,2,2,2,2,1
2408,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,3,1,2,2
2410,2,2,2,2,2,2,3,2,2,2,2,4,2,2,3,2,2,2,2,1,2,2,2,1,4,1,2,1,2
2415,2,1,3,1,4,1,2,1,3,2,2,1,1,1,4,1,2,2,1,1,1,2,1,2,3,1,1,3,2
2419,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1
2420,2,2,4,4,3,3,3,1,2,4,4,3,3,4,4,3,3,4,4,1,2,4,4,4,4,3,4,4,4
2422,2,3,2,1,4,1,4,3,3,2,3,3,1,1,3,3,2,4,1,4,3,2,1,1,2,1,2,1,1
2423,2,1,1,3,2,1,2,2,2,2,1,2,2,2,3,2,1,2,1,1,1,1,1,1,3,1,2,2,1
2426,2,1,3,1,2,2,2,2,2,3,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1
2427,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1
2432,2,1,1,2,1,3,1,2,4,3,3,2,2,1,2,1,4,4,1,2,4,3,1,1,2,2,2,1,1
2437,3,1,3,3,1,2,3,3,3,3,2,2,3,2,1,2,2,3,3,3,1,2,2,2,3,2,1,2,1
2439,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,2,1,1,3,1,2,1,1
2448,2,3,3,3,2,4,1,1,2,2,2,3,3,3,3,2,2,1,2,1,2,2,3,2,2,2,3,2,2
2453,3,3,2,1,2,3,1,3,2,2,2,2,2,1,2,3,1,4,2,2,2,1,1,2,4,1,2,2,2
2456,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,2,3,3,3,2,1,2,1,2,3,2,2,2,1
2460,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2
2465,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,4,2,1,2,3,1,1,1,1,2,1
2470,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2
2478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2481,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1
2487,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,3,1,2,2,1,2,1,2,2,2,1,1,1,2
2488,2,1,2,3,3,2,3,1,2,3,1,1,2,3,4,3,2,3,2,1,1,2,2,2,2,2,2,2,1
2491,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,1,1,4,2,4,1,1
2495,1,1,2,2,1,1,2,1,1,2,1,1,2,3,1,2,2,1,2,1,1,2,2,2,3,1,1,1,2
2500,2,1,2,3,3,2,4,4,4,2,1,4,3,3,3,1,2,1,2,4,2,1,1,1,1,1,1,4,4
