Internal.Interview.Numbers,A.Quiet.Place.Part.II,Mulan,My.Spy,Saint.Maud,The.New.Mutants,The.High.Note,Scoob.,The.SpongeBob.Movie..Sponge.on.the.Run,Antebellum,Antlers,Black.Widow,Run,Spiral,The.Woman.in.the.Window,Irresistible,The.Green.Knight,Wonder.Woman.1984,Candyman,Greyhound,Soul,Minions..The.Rise.of.Gru,In.the.Heights,Top.Gun..Maverick,Free.Guy,Ghostbusters..Afterlife,Tenet,Jungle.Cruise,Morbius,Peter.Rabbit.2..The.Runaway,Connected,The.King.s.Man,Respect,No.Time.to.Die,Fast...Furious.9,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9
127962389,0.764776413,0.000439687,0.001139008,2.85E-05,5.77E-05,0.000237069,0.000358875,0.000481704,0.010245792,0.000188002,0.002988562,0.000427869,0.000130732,0.003628365,0.000833265,7.54E-05,2.33E-05,0.174129747,0.000271956,0.010805916,0.000512451,0.000714094,0.000967067,0.000186139,0.002486099,0.000222635,0.0022883,0.000137602,6.38E-05,0.000355588,0.000251942,0.006010499,0.003238673,0.011297207,2,4,1,2,1,6,3
127962450,0.001192193,0.024595565,0.000295656,0.000190048,0.020956539,0.000819283,0.006450881,0.012641686,0.00081119,0.000232746,0.071236719,0.000580118,0.000502081,0.000602549,0.000330781,0.001369586,0.000987328,0.001832639,0.000304577,4.64E-05,0.394803542,0.000181967,0.019528032,0.010097207,0.322471182,8.35E-05,0.000691297,0.000866047,0.020478048,0.000408274,0.002378902,0.000282098,0.005048873,0.076702521,1,3,2,6,7,4,5
127962562,1.22E-05,0.001281758,0.000624823,0.000108777,0.010756285,0.000729968,0.559078914,0.059656167,0.000860278,0.000889073,0.00013326,0.001207407,0.000362047,0.000330501,0.000330814,0.005244929,7.61E-05,0.000941354,0.002915715,0.000533535,0.007873455,0.00103559,0.218183719,0.000283817,0.047753413,0.000121377,0.003478823,0.000173659,0.004840243,0.000475501,0.002882752,0.000608544,0.001008332,0.065206857,1,3,2,6,7,4,9
127962592,0.00032737,0.000673062,0.006980165,1.73E-05,0.011342862,2.12E-05,4.62E-05,1.43E-05,4.87E-06,5.67E-05,0.838785744,0.00022463,0.00019503,1.65E-05,0.000131201,0.001242435,0.087820755,0.000149069,8.23E-05,5.45E-05,0.00118631,2.06E-05,0.002060057,0.001308894,0.032622707,7.70E-05,0.000546603,0.003469174,0.000178051,0.00013393,4.21E-05,0.000118435,0.000497555,0.009552348,1,1,4,4,4,5,6
127962633,0.501714776,0.088756557,0.000439442,0.000163466,0.00116861,0.000115804,0.021801975,0.064158168,0.000119247,2.15E-05,0.187305122,0.000551744,8.44E-05,0.001252763,8.58E-05,0.001457464,0.090834562,8.07E-05,0.000491393,0.001448477,0.026397245,0.000169758,0.00130316,3.78E-05,0.001359272,6.59E-05,0.002320946,0.000220453,1.75E-05,0.000201255,0.000643043,8.82E-05,0.001287078,0.003836428,2,4,1,2,1,6,3
127962754,0.031419112,0.003575473,0.005835842,0.000207223,0.000209436,0.000505275,0.008479501,0.001411555,0.001075141,0.000174163,0.052652793,0.001688101,0.000674834,0.002384297,0.001845976,0.001455425,0.007831957,1.03E-05,0.000906274,0.000331498,8.77E-05,0.002483782,0.156063092,0.024902037,0.006761866,0.000914446,0.049981392,0.004849978,0.000143224,0.000761755,0.017598435,0.000912379,0.611825387,4.03E-05,1,3,2,6,7,4,5
127962808,0.000458326,0.014400444,0.001343212,0.000244744,0.002744536,0.000315558,0.021257703,0.091246244,4.03E-05,0.000276979,0.000915716,0.00058613,0.000338593,0.002391407,0.000527605,0.000867895,0.660781698,0.006627486,0.000854004,0.000560384,0.065204125,0.000456637,0.011153741,0.000318092,0.026539257,0.000369103,0.00561991,0.000723203,0.000187197,0.000281603,0.007372174,0.000245002,0.051467544,0.023283431,1,1,4,4,4,2,8
127962809,0.001805738,0.003222556,0.00336256,0.002186366,0.069269261,0.011897599,0.034429638,0.018075354,0.002786636,0.002577152,0.622282542,0.002958469,0.007695682,0.003442597,0.001580201,0.002458496,0.000743448,0.004633946,0.00041605,0.003479795,0.004158134,0.000521768,6.44E-05,0.000326488,0.002414157,0.001080838,0.000404638,0.021048308,0.011616395,0.001934097,0.000810706,0.001606463,0.111882113,0.042827387,1,1,4,4,4,5,6
127962889,0.047860856,0.170815783,0.001804468,0.00020833,0.00505977,0.000815814,0.000650626,0.001106672,0.000234981,0.000461034,0.027580295,0.000358209,0.000441861,0.001087673,0.001212574,0.00268009,0.006008249,1.81E-05,0.000333482,0.005463531,0.019093814,0.00058477,0.017756718,0.000243133,0.017404872,0.000729315,0.419464233,0.004563955,0.000135036,0.002499073,0.090394075,0.005275719,0.141810191,0.005842729,1,3,2,6,7,4,5
127962935,0.099608525,0.002470659,0.181123998,0.00326492,0.003110828,0.016590726,0.011605903,0.024901476,0.061941227,0.004736325,0.006146208,0.015994471,0.001082558,0.068977217,0.039279972,0.015775642,0.014512676,0.011098131,0.013668647,0.018764037,0.017513902,0.049579531,0.006534871,0.015564628,0.002577855,0.001243466,0.051023307,0.01908778,0.094147235,0.018706314,0.0187585,0.037330443,0.030831266,0.022446756,1,3,2,6,7,4,5
